[Investment Summary]
Particulars,Value
Total Deposit,💵 10472                        
Total Withdrawal,💵 -6915                        
<b>Total Invested</b>,💵 <b>3557                        </b>
Closed Equity,📑 -2202                        
Closed Options,📑 3629                        
Brokerage,🏦 -183                        
<b>Realised P/L</b>,💵 <b>1244                        </b>
Other Charges,🏦 -25                        
<b> Matured Investment</b>,💵 <b>4775                        </b>
Active Equity,📑 -386                        
Active Options,📑 -694                        
<b>Unrealised P/L</b>,💵 <b>-1080                        </b>
[Closed Equity Trades]
Symbol,Entry,Exit,Qty,Buy Price,Sell Price,Holding Period,Margin,P&L,Commission
ACHR,2026-03-05,,100.0,6.46,5.5,44,-0.96,-96.0,-1.03083
AEO,2026-05-28,,100.0,17.66,17.87,15,0.21000000000000085,21.000000000000085,-2.0569122
ASPI,2026-03-16,,100.0,5.28,4.5,40,-0.7800000000000002,-78.00000000000003,-1.02877
AUR,2026-02-17,,100.0,4.5395,4.0,42,-0.5395000000000003,-53.95000000000003,-3.0195
BB,2026-04-08,,100.0,3.52,3.5,3,-0.020000000000000018,-2.0000000000000018,-1.02671
BBAI,2026-03-09,,100.0,4.1,3.15,21,-0.9499999999999997,-94.99999999999997,-2.0195
BITF,2026-02-18,,100.0,2.048,2.0,10,-0.04800000000000004,-4.800000000000004,-1.951
BITF,2026-03-03,,100.0,1.98,2.0,11,0.020000000000000018,2.0000000000000018,-1.0195
BKKT,2026-03-16,,100.0,9.75,7.215,15,-2.535,-253.5,-2.0195
BTBT,2026-05-26,,100.0,2.0,2.0,4,0.0,0.0,-1.02392
CMPX,2026-02-27,,100.0,5.73,5.0,50,-0.7300000000000004,-73.00000000000004,-1.0298
CRML,2026-03-16,,100.0,8.82,7.25,14,-1.5700000000000003,-157.00000000000003,-2.0195
ETHA,2026-08-21,,100.0,16.5,17.0,1,0.5,50.0,-0.05452
FLY,2026-03-09,,100.0,19.73,19.5,5,-0.23000000000000043,-23.000000000000043,-1.0195
FRMI,2026-03-23,,100.0,7.095,5.39,8,-1.705,-170.5,-2.0195
GAP,2026-05-28,,50.0,24.09,21.312350000000002,22,-2.7776499999999977,-138.88249999999988,-2.03215172
GAP,2026-05-28,,62.0,23.093129032258062,19.870322580645162,47,-3.2228064516129002,-199.81399999999982,-5.037990376
GPRO,2026-03-05,,200.0,0.8421500000000001,0.6851249999999999,18,-0.1570250000000002,-31.405000000000037,-2.7233
GPRO,2026-03-23,,200.0,0.6946199999999999,0.6718999999999999,7,-0.022719999999999962,-4.5439999999999925,-2.42824
GRAB,2026-05-27,,100.0,3.55,3.5,37,-0.04999999999999982,-4.999999999999982,-1.02701
IOT,2026-03-02,,100.0,29.0,29.0,5,0.0,0.0,-1.0195
IOVA,2026-03-17,,100.0,4.01,3.985,1,-0.02499999999999991,-2.499999999999991,-2.0195
MARA,2026-03-16,,100.0,9.48,7.945,14,-1.5350000000000001,-153.5,-2.0195
NUAI,2026-03-09,,100.0,4.45,4.5,12,0.04999999999999982,4.999999999999982,-1.0195
OWL,2026-03-04,,100.0,10.36,9.0,17,-1.3599999999999994,-135.99999999999994,-1.0195
REAX,2026-02-27,,100.0,2.638,2.5,50,-0.1379999999999999,-13.79999999999999,-1.02465
RZLV,2026-03-17,,100.0,2.81,2.61,13,-0.20000000000000018,-20.000000000000018,-2.0195
STUB,2026-03-03,,100.0,10.09,6.15,28,-3.9399999999999995,-393.99999999999994,-2.0195
TMC,2026-03-24,,100.0,4.8893,3.972,7,-0.9173000000000004,-91.73000000000005,-2.0195
TMQ,2026-03-03,,100.0,4.29,4.0,46,-0.29000000000000004,-29.000000000000004,-1.02774
TRON,2026-03-23,,100.0,1.98,2.0,25,0.020000000000000018,2.0000000000000018,-1.02362
UNG,2026-04-08,,100.0,11.08,11.35,37,0.2699999999999996,26.999999999999957,-2.0431809999999997
UPXI,2026-03-05,,100.0,0.9941,1.0,9,0.005900000000000016,0.5900000000000016,-1.0136
VG,2026-03-04,,100.0,10.9,10.5,10,-0.40000000000000036,-40.000000000000036,-1.0195
ZENA,2026-03-23,,100.0,2.43,2.0,152,-0.43000000000000016,-43.000000000000014,-1.02362
[Closed Option Trades]
Symbol,Entry,Exit,Qty,Entry Price,Exit Price,Holding Period,Margin,P&L,Commission
ABUS  260918C00006000,2026-09-18,2026-08-21,1.0,0.03,0.0,-28,-0.03,-3.0,-1.8953
ABUS  260918P00005000,2026-09-18,2026-08-21,1.0,0.14,0.0,-28,-0.14,-14.000000000000002,-1.88006
ACHR  260320C00006500,2026-03-05,2026-03-20,1.0,0.0,0.41,16,0.41,41.0,-1.05124
ACHR  260402C00006000,2026-03-23,2026-04-02,1.0,0.0,0.24,11,0.24,24.0,-0.56124
ACHR  260417C00005500,2026-04-08,2026-04-17,1.0,0.0,0.29,10,0.29,28.999999999999996,-1.0518374
ACHR  261016C00002000,2026-07-23,2026-07-07,1.0,3.05,3.19,-15,0.14000000000000012,14.000000000000012,-1.8302014
ACHR  270416C00005000,,2026-08-25,0.0,1.95,3.19,34,1.24,-0.0,-1.0413
ACHR  280121C00003000,2026-08-10,2026-07-27,1.0,2.97,4.4,-14,1.4300000000000002,143.00000000000003,-1.122954
ADT   280121C00005000,2026-08-12,2026-06-22,1.0,2.04,2.56,-50,0.52,52.0,-1.0349736
AEO   260529C00017500,2026-05-28,2026-05-29,1.0,0.0,1.1,2,1.1,110.00000000000001,-0.803806
AEO   260612C00017500,2026-06-01,2026-06-11,1.0,0.52,0.2,11,-0.32,-32.0,-1.850202
AIOT  270416C00002500,,2026-08-25,0.0,0.9,0.2,86,-0.7,0.0,0.1407
ALDX  260320C00005000,2026-03-09,2026-03-20,1.0,0.0,1.8,12,1.8,180.0,-0.05124
APLS  260417C00041000,2026-04-17,2026-04-06,1.0,0.05,0.0,-11,-0.05,-5.0,-1.04795
